tp_pct,sl_pct,trades,tp_hits,sl_hits,eod,avg_underlying_pnl,median_underlying_pnl,avg_minutes_to_exit,tp_rate,sl_rate,avg_pnl_3x_pct,avg_pnl_5x_pct,avg_pnl_7x_pct,avg_pnl_10x_pct
12.0,7.000000000000001,7,2,0,5,8.119455182955942,8.986915601805805,841.9382119047619,0.2857142857142857,0.0,24.358365548867827,40.597275914779715,56.83618628069159,81.19455182955943
10.0,7.000000000000001,7,2,0,5,7.548026611527371,8.986915601805805,794.4589857142856,0.2857142857142857,0.0,22.644079834582115,37.740133057636854,52.8361862806916,75.48026611527371
15.0,7.000000000000001,7,0,0,7,7.375888292290976,6.655337130259049,886.2418523809523,0.0,0.0,22.127664876872927,36.87944146145488,51.631218046036835,73.75888292290976
20.0,7.000000000000001,7,0,0,7,7.375888292290976,6.655337130259049,886.2418523809523,0.0,0.0,22.127664876872927,36.87944146145488,51.631218046036835,73.75888292290976
8.0,7.000000000000001,7,5,0,2,6.8472168455947635,7.99999999999999,595.5633023809523,0.7142857142857143,0.0,20.54165053678429,34.23608422797382,47.93051791916334,68.47216845594764
7.000000000000001,7.000000000000001,7,5,0,2,6.13293113130906,7.0000000000000036,573.2232904761904,0.7142857142857143,0.0,18.39879339392718,30.6646556565453,42.93051791916342,61.3293113130906
15.0,3.0,7,0,1,6,6.055717462963784,6.655337130259049,772.7434285714286,0.0,0.14285714285714285,18.167152388891353,30.27858731481892,42.39002224074649,60.55717462963784
20.0,3.0,7,0,1,6,6.055717462963784,6.655337130259049,772.7434285714286,0.0,0.14285714285714285,18.167152388891353,30.27858731481892,42.39002224074649,60.55717462963784
12.0,3.0,7,1,1,5,5.9765980400988,6.655337130259049,761.6073452380951,0.14285714285714285,0.14285714285714285,17.9297941202964,29.882990200494,41.8361862806916,59.765980400988
15.0,4.0,7,0,1,6,5.912860320106643,6.655337130259049,775.4342357142857,0.0,0.14285714285714285,17.73858096031993,29.564301600533213,41.3900222407465,59.128603201066426
20.0,4.0,7,0,1,6,5.912860320106643,6.655337130259049,775.4342357142857,0.0,0.14285714285714285,17.73858096031993,29.564301600533213,41.3900222407465,59.128603201066426
12.0,4.0,7,1,1,5,5.8337408972416585,6.655337130259049,764.2981523809523,0.14285714285714285,0.14285714285714285,17.501222691724976,29.16870448620829,40.83618628069161,58.33740897241658
15.0,5.0,7,0,1,6,5.770003177249499,6.655337130259049,776.5825595238094,0.0,0.14285714285714285,17.310009531748495,28.850015886247494,40.39002224074649,57.70003177249499
