symbol,date,label,mode,turnover_usdt,entry_time_utc,entry_price,max_short_move_pct,max_runup_pct,mfe_after_entry_pct,mae_after_entry_pct,sell_share_after_peak_pct,weak_score,pump_score,candidate_score,main_candidate_v3,turnover_ratio_vs_prev,prev_day_ret,prev_day_max_dd,prior_label
EIGENUSDT,2026-03-18,winner,weak,6640840.7586,2026-03-18T05:40:00+00:00,0.21772,10.414024279760826,3.8681296455478575,9.163145324269701,0.25721109682160803,51.98548947570051,11,3,11,True,0.769254423710798,-4.855385420756441,-9.040187935229472,winner
GRASSUSDT,2026-03-18,winner,weak,9931628.9082,2026-03-18T12:30:00+00:00,0.42258,15.770182351324113,9.285732168339877,12.991622887973875,2.778172180415536,54.5338782928385,11,5,11,True,0.5121405438262333,-10.152547874066864,-13.237673060358413,winner
RVNUSDT,2026-03-18,winner,weak,1855352.621638,2026-03-18T04:05:00+00:00,0.005852,9.850599244787384,6.85964912280701,6.168831168831172,2.5290498974709448,50.570896950304466,9,4,9,True,0.1456723668356342,2.914137033824793,-15.669925244393337,winner
ENJUSDT,2026-03-18,winner,pump,86479582.2552878,2026-03-18T10:10:00+00:00,0.025556,23.96551724137931,44.264252313202675,13.718891845359208,5.626858663327602,50.47677074135738,5,9,9,True,21.2941824239218,6.565393819581722,-10.31063810433437,winner
JTOUSDT,2026-03-27,winner,weak,6486839.97779,2026-03-27T10:40:00+00:00,0.3152,6.753006475485657,5.189750243269531,4.06091370558375,0.6979695431472194,53.59653710167055,11,5,11,True,0.5032965560701346,-6.111443978430186,-9.197080291970805,winner
STGUSDT,2026-03-27,winner,pump,55926612.61236,2026-03-27T14:30:00+00:00,0.26138,20.386979744029034,34.09459459459461,9.327416022649022,1.2548779554671379,50.2194029258621,4,10,10,True,21.256537240306404,15.9199336237295,-5.480371900826442,winner
ENAUSDT,2026-03-27,extra_candidate,weak,51444781.36558,2026-03-27T07:00:00+00:00,0.09802,11.272836779763107,3.1583307445376407,9.824525607018977,0.673331973066729,55.05586912404327,11,4,11,True,0.7308988990896005,-7.364080928181027,-13.44193665817256,control_extra
AEROUSDT,2026-03-18,near_miss_control,weak,4203966.9679000005,2026-03-18T05:50:00+00:00,0.3466,8.843537414965985,3.9490049751243816,7.212925562608199,1.009809578765148,49.86060972757799,7,4,7,False,1.089170716425245,-4.688361831218968,-7.734503565551288,control
ARKMUSDT,2026-03-27,near_miss_control,weak,1033818.4038700002,2026-03-27T03:05:00+00:00,0.10217,7.567829457364339,2.1984732824427367,6.635998825486928,0.3034158755016196,51.99715465857836,6,4,6,False,0.982498233950259,-4.665790461885089,-6.834161432455243,control
BOMEUSDT,2026-03-27,near_miss_control,weak,1101875.32302,2026-03-27T03:05:00+00:00,0.0003957,4.73091364205257,2.4172359432474977,3.8160222390700125,0.4296183977760897,50.44183562287577,6,4,6,False,0.8784245192204599,-5.902031063321389,-8.243983797950927,control
APEUSDT,2026-03-27,near_miss_control,pump,3515422.703079,2026-03-27T09:05:00+00:00,0.08901,6.913095627521537,4.991413852318272,4.089428154139989,1.6177957532861438,51.88552834562552,5,5,5,False,1.784069182253856,-2.721315117183154,-4.302983253853821,control
DRIFTUSDT,2026-03-27,near_miss_low_turnover,weak,878025.83865,2026-03-27T08:35:00+00:00,0.0738,8.841544607190421,2.9049054535489116,7.235772357723593,1.0027100271002582,54.473780445107735,10,5,10,False,0.6844918842729977,-7.633209417596031,-11.355220933102938,control_extra
CETUSUSDT,2026-03-18,near_miss_low_turnover,pump,169615.248969,2026-03-18T10:00:00+00:00,0.019773,11.722162896806143,9.306027164685894,8.021038790269564,3.737419713751075,52.57162098984366,7,5,7,False,0.696056144168735,0.094701951912457,-4.932301740812384,control_extra
